N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
323,동원F&B,"40,700",상승,450,+1.12%,"1,000",653,26,"39,950","7,853","1,835",6.60,"34,234","40,150","40,050","21,457",10.04,12.43,"40,800",27,"10,627","1,278",7.77,5.88,"40,100",17,"19,296","44,836","6,169",0.71,800,2.82
324,TIGER 미국나스닥100타겟데일리커버드콜,"9,525",상승,60,+0.63%,0,"54,189",515,"9,475","7,696",N/A,N/A,"449,603","9,515","9,480",N/A,N/A,N/A,"9,535","4,008",N/A,N/A,0.02,N/A,"9,510","3,171","80,800",N/A,N/A,N/A,N/A,N/A
325,DI동일,"38,800",하락,750,-1.90%,500,908,35,"39,400","7,650",78,-279.14,"54,263","39,450","39,450","10,137",23.89,0.28,"39,450",69,"4,494",25,7.05,0.25,"38,600","1,031","19,716","6,517",-139,1.44,262,-4.56
326,대상,"21,950",상승,250,+1.15%,"1,000","23,025",504,"21,600","7,605","1,769",7.66,"190,425","21,800","21,700","35,098",43.02,6.94,"22,050",210,"20,622",967,18.38,2.83,"21,750",360,"34,648","42,551","2,865",0.56,850,3.59
327,녹십자홀딩스,"16,170",상승,160,+1.00%,500,"1,719",27,"15,900","7,604",-107,11.83,"38,000","16,190","16,160","36,706",34.81,2.43,"16,190",846,"18,184",-111,10.30,-0.30,"16,070",80,"47,028","22,049","1,367",0.76,500,7.14
328,SOL 미국배당다우존스,"10,545",상승,25,+0.24%,0,"41,009",432,"10,530","7,603",N/A,N/A,"305,058","10,575","10,550",N/A,N/A,N/A,"10,575","2,027",N/A,N/A,0.12,N/A,"10,540",11,"72,100",N/A,N/A,N/A,N/A,N/A
329,KODEX 25-11 은행채(AA-이상)PLUS액티브,"10,580",보합,0,0.00%,0,200,2,"10,575","7,603",N/A,N/A,"15,271","10,580","10,580",N/A,N/A,N/A,"10,580","200,030",N/A,N/A,0.00,N/A,"10,580","40,035","71,860",N/A,N/A,N/A,N/A,N/A
330,솔루엠,"15,870",상승,640,+4.20%,500,"54,470",856,"15,150","7,588",691,25.93,"139,172","15,180","15,170","9,827",-55.29,9.48,"15,930",33,"5,484",377,18.04,3.92,"15,180",96,"47,816","15,944",612,1.75,0,-18.28
331,삼양홀딩스,"87,100",상승,"1,600",+1.87%,"5,000","5,989",521,"85,500","7,587","1,275",30.60,"21,265","85,500","86,600","52,905",34.53,1.38,"87,900",173,"22,924",895,7.60,1.71,"85,500",30,"8,710","35,533","2,846",0.31,"3,500",10.66
332,한화3우B,"39,000",하락,200,-0.51%,"5,000","12,660",489,"39,300","7,568",N/A,3.73,"335,608","39,200","39,500",N/A,N/A,N/A,"39,200",776,N/A,N/A,21.71,N/A,"38,400",206,"19,404",N/A,"10,464",0.35,N/A,N/A
333,N2 KIS CD금리투자 ETN,"53,995",보합,0,0.00%,0,0,0,0,"7,559",N/A,N/A,0,"53,995",0,N/A,N/A,N/A,"53,995",0,N/A,N/A,0.00,N/A,"53,995",0,"14,000",N/A,N/A,N/A,N/A,N/A
334,율촌화학,"30,150",상승,"1,650",+5.79%,500,"14,860",445,"28,600","7,477",-184,-35.22,"55,392","29,400","28,950","6,555",-13.30,-2.86,"30,350",504,"3,645",-85,5.23,-1.28,"29,400",755,"24,800","4,571",-856,2.55,250,10.28
335,KODEX 미국S&P500(H),"14,200",상승,80,+0.57%,0,"58,240",826,"14,140","7,420",N/A,N/A,"525,949","14,185","14,150",N/A,N/A,N/A,"14,205",783,N/A,N/A,0.45,N/A,"14,180",177,"52,250",N/A,N/A,N/A,N/A,N/A
336,유안타증권,"3,685",상승,15,+0.41%,"5,000","20,522",75,"3,670","7,355",948,16.31,"435,862","3,675","3,675","168,003",-26.62,4.52,"3,690","5,607","151,660",730,64.22,0.44,"3,655",215,"199,597","27,127",226,0.48,200,-4.98
337,케이카,"15,140",하락,40,-0.26%,500,"2,581",39,"15,310","7,295",681,15.64,"157,936","15,180","15,500","5,248",15.41,19.09,"15,180",187,"2,991",440,10.04,8.15,"15,090",85,"48,182","23,015",968,3.27,"1,150",12.40
338,미원에스씨,"145,500",상승,"1,300",+0.90%,500,60,8,"144,500","7,275",588,12.71,663,"145,700","149,100","5,121",160.87,14.00,"148,700",29,"1,058",546,0.54,11.21,"145,500",6,"5,000","5,093","11,447",1.72,"2,500",16.36
339,GS피앤엘,"36,650",상승,300,+0.83%,"1,000","5,425",199,"35,750","7,268",0,-63.96,"105,193","35,800","36,050","22,696",N/A,N/A,"37,150",167,"10,328",-11,10.09,N/A,"35,800",32,"19,831",383,-573,0.86,N/A,N/A
340,KODEX 반도체,"37,160",상승,80,+0.22%,0,"83,628","3,109","37,060","7,265",N/A,N/A,"369,627","42,370","42,100",N/A,N/A,N/A,"42,500","1,516",N/A,N/A,2.95,N/A,"42,320",9,"17,100",N/A,N/A,N/A,N/A,N/A
