N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
62,HD현대마린솔루션,"183,300",상승,"3,400",+1.89%,500,"226,555","40,982","183,200","82,172","2,717",32.80,500,"84,011","180,000","183,300","11,522",34.87,500,"184,500",801,"3,787","2,279",28.57,500,"174,800","4,057","44,829","17,455","5,588",500,"3,150"
63,TIGER 미국S&P500,"20,315",상승,270,+1.35%,0,"2,294,570","46,757","20,310","81,199",N/A,N/A,0,"2,776,611","20,385","20,315",N/A,N/A,0,"20,435","131,101",N/A,N/A,0.10,0,"20,315","142,476","399,700",N/A,N/A,0,N/A
64,HD현대미포,"202,000",상승,"8,300",+4.28%,"5,000","375,281","74,063","201,500","80,683",885,52.85,"5,000","188,870","194,500","202,000","51,089",157.89,"5,000","205,000","4,131","30,024","1,132",20.60,"5,000","187,100","31,245","39,942","46,300","3,822","5,000",710
65,한미반도체,"82,800",상승,"2,800",+3.50%,100,"798,872","66,247","82,700","79,997","2,554",58.23,100,"428,944","82,000","82,800","7,109",638.74,100,"83,800","24,354","1,700","1,526",7.43,100,"81,800","69,612","96,614","5,589","1,422",100,720
66,아모레퍼시픽,"134,100",하락,200,-0.15%,500,"263,213","35,537","134,100","78,439","2,205",14.81,500,"240,937","135,300","134,200","67,835",103.83,500,"137,200","8,044","14,575","6,016",23.63,500,"133,500","4,634","58,493","38,851","9,057",500,"1,125"
67,LS ELECTRIC,"256,500",상승,"8,500",+3.43%,"5,000","156,632","40,150","256,000","76,950","3,897",33.43,"5,000","190,021","252,000","256,500","44,852",19.96,"5,000","258,500","6,692","25,951","2,422",23.54,"5,000","252,000","24,877","30,000","45,518","7,673","5,000","2,900"
68,현대건설,"68,800",상승,"3,100",+4.72%,"5,000","2,405,892","162,400","68,800","76,613","-12,634",-37.97,"5,000","2,257,010","65,500","68,900","270,054",-260.86,"5,000","69,600","43,156","173,360","-7,662",23.72,"5,000","64,500","54,006","111,356","326,703","-1,812","5,000",600
69,DB손해보험,"103,700",상승,"5,400",+5.49%,500,"231,222","23,829","103,600","73,420","24,249",3.97,500,"202,807","99,300","103,700","665,061",8.50,500,"104,500","10,255","571,149","18,532",46.08,500,"98,500","14,934","70,800","218,350","26,152",500,"6,800"
70,SK바이오팜,"89,700",하락,"1,400",-1.54%,500,"263,233","23,722","89,600","70,247",963,27.96,500,"153,835","91,200","89,700","10,368",356.75,500,"91,700","19,406","4,628","2,270",11.09,500,"89,500","14,497","78,313","5,476","3,208",500,N/A
71,한화,"93,400",상승,"16,200",+20.98%,"5,000","3,261,845","293,529","93,300","70,011","24,161",8.93,"5,000","857,218","80,400","93,400","2,520,370",0.17,"5,000","97,100","7,096","2,124,752","16,904",15.75,"5,000","79,700","17,349","74,959","556,468","10,464","5,000",800
72,KODEX 머니마켓액티브,"102,990",상승,5,0.00%,0,"461,623","47,541","102,985","68,793",N/A,N/A,0,"396,414","102,985","102,990",N/A,N/A,0,"102,990","1,253,768",N/A,N/A,0.00,0,"102,985","669,039","66,796",N/A,N/A,0,N/A
73,코웨이,"91,100",보합,0,0.00%,500,"205,090","18,694","91,000","65,509","7,954",11.62,500,"189,095","90,900","91,100","57,616",8.77,500,"93,400","8,257","25,654","5,655",61.62,500,"90,200","8,940","71,909","43,101","7,843",500,"2,630"
74,KODEX 200,"37,140",상승,"1,015",+2.81%,0,"7,164,874","265,157","37,140","64,884",N/A,N/A,0,"7,397,312","36,615","37,145",N/A,N/A,0,"37,170","286,782",N/A,N/A,30.11,0,"36,610","316,656","174,700",N/A,N/A,0,N/A
75,한국금융지주,"113,700",상승,"8,800",+8.39%,"5,000","572,512","64,535","113,500","63,360","11,997",6.73,"5,000","341,506","107,000","113,700","1,092,202",46.24,"5,000","115,000","5,274","994,857","10,459",37.99,"5,000","106,800","14,461","55,726","211,741","16,883","5,000","3,980"
76,S-Oil,"55,800",상승,800,+1.45%,"2,500","256,423","14,385","55,800","62,821","4,222",-16.11,"2,500","240,844","55,300","55,900","244,514",-68.83,"2,500","57,000","23,378","157,558","-1,930",73.40,"2,500","55,100","6,015","112,583","366,370","-3,463","2,500",125
77,효성중공업,"648,000",상승,"11,000",+1.73%,"5,000","40,001","26,055","648,000","60,423","3,625",19.93,"5,000","49,382","651,000","649,000","62,188",40.59,"5,000","664,000","1,592","41,632","2,229",22.75,"5,000","640,000","1,290","9,325","48,950","32,509","5,000","5,000"
78,NH투자증권,"17,920",상승,710,+4.13%,"5,000","1,533,154","27,647","17,920","58,687","9,011",9.07,"5,000","805,348","17,770","17,930","624,271",24.16,"5,000","18,400","39,877","543,077","6,866",16.34,"5,000","17,550","11,046","327,492","100,343","1,976","5,000",950
79,LG유플러스,"13,160",상승,280,+2.17%,"5,000","1,906,605","25,108","13,150","57,458","8,631",14.04,"5,000","1,219,298","12,990","13,160","197,077",-13.52,"5,000","13,280","28,837","109,394","3,146",36.67,"5,000","12,920","86,920","436,611","146,252",937,"5,000",650
80,맥쿼리인프라,"11,680",하락,10,-0.09%,0,"951,568","11,106","11,670","55,938",N/A,N/A,0,"557,722","11,670","11,680",N/A,N/A,0,"11,730","118,820",N/A,N/A,9.23,0,"11,610","170,456","478,922",N/A,N/A,0,N/A
81,LS,"173,200",상승,"12,500",+7.78%,"5,000","512,504","88,732","173,200","55,770","10,729",19.63,"5,000","146,487","166,700","173,400","205,279",19.26,"5,000","176,300","5,603","136,468","3,915",13.21,"5,000","166,100","2,088","32,200","275,447","8,821","5,000","1,650"
82,삼성증권,"62,000",상승,"2,800",+4.73%,"5,000","680,028","42,104","61,900","55,366","12,058",6.16,"5,000","1,015,133","60,200","62,000","622,739",62.69,"5,000","62,900","26,572","549,497","8,990",29.80,"5,000","59,800","25,223","89,300","134,666","10,068","5,000","3,500"
83,한화솔루션,"31,600",상승,"1,700",+5.69%,"5,000","5,043,612","158,034","31,600","54,318","-3,002",-5.57,"5,000","1,951,696","31,750","31,650","300,368",-151.83,"5,000","32,350","126,589","194,300","-13,690",13.53,"5,000","30,150","141,224","171,893","123,940","-5,673","5,000",300
84,현대차2우B,"150,800",상승,"4,200",+2.86%,"5,000","146,527","21,817","150,600","52,726",N/A,3.29,"5,000","101,533","147,400","150,800",N/A,N/A,"5,000","150,800",952,N/A,N/A,60.01,"5,000","146,700","5,773","34,964",N/A,"45,880","5,000",N/A
85,LG생활건강,"330,000",상승,"7,500",+2.33%,"5,000","53,632","17,721","329,500","51,540","4,590",32.34,"5,000","28,030","326,500","330,000","74,058",-5.74,"5,000","333,500","2,029","17,199","2,039",28.30,"5,000","326,500","3,546","15,618","68,119","10,204","5,000","3,500"
86,삼성카드,"44,150",상승,"1,350",+3.15%,"5,000","128,976","5,656","44,100","51,152","8,854",7.70,"5,000","58,818","42,850","44,150","294,941",9.31,"5,000","44,250","2,885","210,079","6,646",6.37,"5,000","42,850","10,205","115,859","43,832","5,736","5,000","2,800"
87,카카오페이,"37,300",하락,850,-2.23%,500,"366,439","13,814","37,300","50,241",-575,"-1,203.23",500,"236,086","39,300","37,350","44,147",-1.59,500,"39,800","11,796","25,039",-215,38.53,500,"37,050","9,814","134,694","7,662",-31,500,0
88,TIGER 미국나스닥100,"131,675",상승,"2,430",+1.88%,0,"161,134","21,287","131,670","49,668",N/A,N/A,0,"212,478","132,140","131,675",N/A,N/A,0,"132,400","14,745",N/A,N/A,0.04,0,"131,675","17,029","37,720",N/A,N/A,0,N/A
89,LG씨엔에스,"51,200",상승,800,+1.59%,500,"208,661","10,641","51,200","49,606","5,129",11.14,500,"143,323","50,600","51,300","45,045",10.52,500,"51,300","27,664","23,817","3,649",1.38,500,"50,600","38,367","96,886","59,826","4,597",500,"1,672"
90,한국타이어앤테크놀로지,"38,550",상승,450,+1.18%,500,"524,861","20,214","38,500","47,754","17,623",4.43,500,"274,557","38,400","38,550","158,497",32.71,500,"38,900","59,112","46,549","11,311",36.06,500,"38,200","15,214","123,875","94,119","8,704",500,"2,000"
91,TIGER CD금리투자KIS(합성),"56,150",상승,15,+0.03%,0,"152,106","8,540","56,145","47,749",N/A,N/A,0,"134,703","56,145","56,150",N/A,N/A,0,"56,150","1,248,297",N/A,N/A,0.01,0,"56,145","1,187,865","85,038",N/A,N/A,0,N/A
92,넷마블,"54,700",하락,400,-0.73%,100,"147,353","8,089","54,700","47,017","2,156",46.24,100,"359,288","54,900","54,800","81,771",414.93,100,"55,700","5,702","27,032",32,24.54,100,"54,100","7,476","85,954","26,638","1,183",100,417
93,에이피알,"124,800",상승,"1,600",+1.30%,100,"337,544","42,192","124,800","46,983","1,227",35.50,100,"749,381","123,600","124,900","5,651",17.77,100,"127,500","9,964","2,416","1,076",23.04,100,"121,600","2,966","37,647","7,228","3,515",100,0
94,두산밥캣,"47,600",상승,400,+0.85%,500,"229,222","10,986","47,600","45,627","8,714",10.33,500,"158,816","47,000","47,800","120,096",-37.31,500,"48,650","12,045","51,151","5,634",35.85,500,"47,000","4,179","95,856","85,512","4,606",500,"1,600"
95,CJ,"151,900",상승,"16,500",+12.19%,"5,000","578,240","86,198","151,900","44,320","25,475",54.54,"5,000","172,406","138,600","152,000","474,970",24.93,"5,000","154,100","2,189","297,506","1,512",11.07,"5,000","137,600","2,339","29,177","436,467","2,785","5,000","3,000"
96,오리온,"111,700",상승,900,+0.81%,500,"161,117","18,038","111,700","44,162","5,436",8.25,500,"63,348","111,700","111,800","43,084",10.40,500,"113,300","6,755","7,344","5,332",29.61,500,"110,900","4,456","39,536","31,043","13,534",500,"2,500"
97,KODEX 미국S&P500,"18,700",상승,250,+1.36%,0,"2,267,279","42,526","18,695","43,861",N/A,N/A,0,"2,722,122","18,760","18,700",N/A,N/A,0,"18,810","216,067",N/A,N/A,0.15,0,"18,700","258,464","234,550",N/A,N/A,0,N/A
98,삼성E&A,"21,850",상승,400,+1.86%,"5,000","853,163","18,612","21,850","42,826","9,716",5.74,"5,000","509,136","21,550","21,900","100,133",-2.17,"5,000","22,050","66,569","61,176","6,387",44.09,"5,000","21,400","121,675","196,000","99,666","3,804","5,000",660
