45,SK텔레콤,"52,500",상승,800,+1.55%,100,"1,108,985","58,375","52,500","112,765","18,234",8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,삼성에스디에스,"132,800",상승,100,+0.08%,500,"150,383","20,048","132,800","102,758","9,111",13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,한진칼,"152,500",상승,"11,200",+7.93%,"2,500","325,112","48,451","152,400","101,812",492,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,미래에셋증권,"17,690",상승,"2,070",+13.25%,"5,000","12,638,701","218,877","17,680","100,889","11,881",14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,LIG넥스원,"452,000",상승,"4,500",+1.01%,"5,000","124,487","55,837","452,000","99,440","2,298",40.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HD현대,"120,300",상승,"7,400",+6.55%,"1,000","905,742","108,004","120,000","95,029","29,832",18.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,삼성전기,"121,700",상승,900,+0.75%,"5,000","309,432","37,669","121,600","90,902","7,350",15.00,57,현대글로비스,"113,200",상승,"1,600",+1.43%,500,"96,703","111,900","113,300","168,491",12.80,13.24,57,현대글로비스,"113,200",상승,"1,600",+1.43%,500,"114,900","2,697","80,398","10,995",49.33,6.96,57,현대글로비스,"113,200",상승,"1,600",+1.43%,500,"110,200","6,395","75,000","284,074","15,834",0.95,57,현대글로비스,"113,200",상승,"1,600",+1.43%,500,"3,700",10.61,"22,650.2"
52,포스코퓨처엠,"117,000",상승,500,+0.43%,500,"289,821","34,215","116,900","90,632",7,-40.57,58,대한항공,"22,800",상승,150,+0.66%,"5,000","671,567","22,650","22,850","470,121",17.88,13.17,58,대한항공,"22,800",상승,150,+0.66%,"5,000","22,950","247,102","360,489","13,819",17.07,3.57,58,대한항공,"22,800",상승,150,+0.66%,"5,000","22,600","242,970","368,221","178,707","3,322",0.80,58,대한항공,"22,800",상승,150,+0.66%,"5,000",750,10.92,413.2
53,두산,"540,000",상승,"53,500",+11.00%,"5,000","228,484","119,645","539,000","89,229","10,038",-55.73,59,KODEX CD금리액티브(합성),"1,071,585",상승,295,+0.03%,0,"155,962","1,071,585","1,071,590",N/A,N/A,N/A,59,KODEX CD금리액티브(합성),"1,071,585",상승,295,+0.03%,0,"1,071,590","268,395",N/A,N/A,0.00,N/A,59,KODEX CD금리액티브(합성),"1,071,585",상승,295,+0.03%,0,"1,071,585","376,648","7,806",N/A,N/A,N/A,,,,,,,,,,
54,포스코인터내셔널,"49,650",상승,"1,250",+2.58%,"5,000","436,378","21,768","49,650","87,346","11,169",16.24,60,한화시스템,"43,900",상승,550,+1.27%,"5,000","2,558,857","43,850","43,900","57,240",78.95,19.63,60,한화시스템,"43,900",상승,550,+1.27%,"5,000","44,200","57,404","33,076","4,454",8.07,8.73,60,한화시스템,"43,900",상승,550,+1.27%,"5,000","43,200","54,359","188,919","28,037","2,331",2.44,,,,,,,,,,
55,삼양식품,"1,130,000",상승,"48,000",+4.44%,"5,000","62,357","70,053","1,129,000","85,123","3,446",27.95,61,유한양행,"103,000",하락,"1,000",-0.96%,"1,000","235,960","104,400","103,100","29,420",-3.77,3.41,61,유한양행,"103,000",하락,"1,000",-0.96%,"1,000","105,200","31,016","7,914",552,17.91,1.92,61,유한양행,"103,000",하락,"1,000",-0.96%,"1,000","102,900","26,637","80,209","20,678",821,3.73,,,,,,,,,,
56,한국항공우주,"87,200",상승,"3,400",+4.06%,"5,000","1,372,220","118,986","87,100","84,998","2,407",51.35,62,HD현대마린솔루션,"183,300",상승,"3,400",+1.89%,500,"84,011","180,000","183,300","11,522",34.87,44.98,62,HD현대마린솔루션,"183,300",상승,"3,400",+1.89%,500,"184,500",801,"3,787","2,279",28.57,25.20,62,HD현대마린솔루션,"183,300",상승,"3,400",+1.89%,500,"174,800","4,057","44,829","17,455","5,588",11.48,,,,,,,,,,
57,현대글로비스,"113,200",상승,"1,600",+1.43%,500,"152,901","17,341","113,200","84,900","17,529",7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,대한항공,"22,800",상승,150,+0.66%,"5,000","1,125,126","25,621","22,800","83,954","21,102",6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,KODEX CD금리액티브(합성),"1,071,585",상승,295,+0.03%,0,"182,956","196,053","1,071,585","83,645",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,한화시스템,"43,900",상승,550,+1.27%,"5,000","1,800,507","78,814","43,850","82,936","2,193",18.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,유한양행,"103,000",하락,"1,000",-0.96%,"1,000","448,823","46,491","103,000","82,615",549,125.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HD현대마린솔루션,"183,300",상승,"3,400",+1.89%,500,"226,555","40,982","183,200","82,172","2,717",32.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,TIGER 미국S&P500,"20,315",상승,270,+1.35%,0,"2,294,570","46,757","20,310","81,199",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HD현대미포,"202,000",상승,"8,300",+4.28%,"5,000","375,281","74,063","201,500","80,683",885,52.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,한미반도체,"82,800",상승,"2,800",+3.50%,100,"798,872","66,247","82,700","79,997","2,554",58.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,아모레퍼시픽,"134,100",하락,200,-0.15%,500,"263,213","35,537","134,100","78,439","2,205",14.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,LS ELECTRIC,"256,500",상승,"8,500",+3.43%,"5,000","156,632","40,150","256,000","76,950","3,897",33.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,현대건설,"68,800",상승,"3,100",+4.72%,"5,000","2,405,892","162,400","68,800","76,613","-12,634",-37.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,DB손해보험,"103,700",상승,"5,400",+5.49%,500,"231,222","23,829","103,600","73,420","24,249",3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SK바이오팜,"89,700",하락,"1,400",-1.54%,500,"263,233","23,722","89,600","70,247",963,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,한화,"93,400",상승,"16,200",+20.98%,"5,000","3,261,845","293,529","93,300","70,011","24,161",8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,KODEX 머니마켓액티브,"102,990",상승,5,0.00%,0,"461,623","47,541","102,985","68,793",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,코웨이,"91,100",보합,0,0.00%,500,"205,090","18,694","91,000","65,509","7,954",11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,KODEX 200,"37,140",상승,"1,015",+2.81%,0,"7,164,874","265,157","37,140","64,884",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,한국금융지주,"113,700",상승,"8,800",+8.39%,"5,000","572,512","64,535","113,500","63,360","11,997",6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,S-Oil,"55,800",상승,800,+1.45%,"2,500","256,423","14,385","55,800","62,821","4,222",-16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,효성중공업,"648,000",상승,"11,000",+1.73%,"5,000","40,001","26,055","648,000","60,423","3,625",19.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,NH투자증권,"17,920",상승,710,+4.13%,"5,000","1,533,154","27,647","17,920","58,687","9,011",9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,LG유플러스,"13,160",상승,280,+2.17%,"5,000","1,906,605","25,108","13,150","57,458","8,631",14.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,맥쿼리인프라,"11,680",하락,10,-0.09%,0,"951,568","11,106","11,670","55,938",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,LS,"173,200",상승,"12,500",+7.78%,"5,000","512,504","88,732","173,200","55,770","10,729",19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,삼성증권,"62,000",상승,"2,800",+4.73%,"5,000","680,028","42,104","61,900","55,366","12,058",6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,한화솔루션,"31,600",상승,"1,700",+5.69%,"5,000","5,043,612","158,034","31,600","54,318","-3,002",-5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,현대차2우B,"150,800",상승,"4,200",+2.86%,"5,000","146,527","21,817","150,600","52,726",N/A,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,LG생활건강,"330,000",상승,"7,500",+2.33%,"5,000","53,632","17,721","329,500","51,540","4,590",32.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,삼성카드,"44,150",상승,"1,350",+3.15%,"5,000","128,976","5,656","44,100","51,152","8,854",7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,카카오페이,"37,300",하락,850,-2.23%,500,"366,439","13,814","37,300","50,241",-575,"-1,203.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,TIGER 미국나스닥100,"131,675",상승,"2,430",+1.88%,0,"161,134","21,287","131,670","49,668",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,LG씨엔에스,"51,200",상승,800,+1.59%,500,"208,661","10,641","51,200","49,606","5,129",11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
