종목명,현재가,기준월,배당금,수익률(%),배당성향(%),ROE(%),PER(배),PBR(배),과거3년배당금_Max,1년전,2년전,3년전
넥센타이어1우B,3115,25.04,135,4.33,10.59,7.10,4.95,0.33,120,120,105,110
NPC우,2540,24.12,110,4.33,5.31,18.88,2.38,0.37,105,105,105,105
위츠,6930,24.12,300,4.33,243.68,4.66,66.78,2.99,0,0,0,0
iM금융지주,11560,25.02,500,4.32,38.72,3.60,6.44,0.23,650,550,650,630
성도이엔지,4630,24.12,200,4.32,15.01,6.83,4.00,0.24,150,100,100,150
골프존홀딩스,5790,24.12,250,4.32,23.23,6.02,3.40,0.19,167,167,163,140
삼성화재,441000,25.03,19000,4.31,38.95,13.11,8.74,0.98,16000,16000,13800,12000
영원무역홀딩스,124300,25.04,5350,4.30,18.59,13.17,3.40,0.36,3970,3970,3050,2000
한국캐피탈,699,24.12,30,4.29,11.56,12.62,2.13,0.25,35,28,28,35
라이온켐텍,2335,24.12,100,4.28,17.39,6.77,10.25,0.68,100,100,100,100
오리콤,6310,25.04,270,4.28,32.03,8.13,8.44,0.65,270,270,270,220
코오롱글로벌,9360,24.12,400,4.27,32.67,4.15,7.19,0.29,500,400,400,500
서울가스,58800,24.12,2500,4.25,29.01,3.14,7.35,0.18,2250,2250,1750,1750
DL우,24700,24.12,1050,4.25,25.40,2.25,8.01,0.17,1950,1050,1050,1950
하나제약,12030,24.12,510,4.24,41.52,7.24,9.12,0.61,510,510,510,510
아시아나IDT,11800,24.12,500,4.24,47.17,7.06,11.34,0.79,500,500,500,500
한국내화,2375,24.12,100,4.21,64.37,2.84,16.04,0.42,45,45,45,35
삼지전자,10700,24.12,450,4.21,11.21,16.21,2.29,0.32,450,450,450,400
삼호개발,3570,25.03,150,4.20,63.77,2.33,14.57,0.31,190,190,190,190
삼양홀딩스우,84600,24.12,3550,4.20,95.87,1.38,20.55,0.24,3550,3550,3550,3050
CJ제일제당 우,144500,25.02,6050,4.19,64.92,1.97,28.25,0.52,5550,5550,5550,5050
새론오토모티브,3350,24.12,140,4.18,27.74,4.08,6.50,0.26,140,140,140,140
다올투자증권,3595,25.03,150,4.17,023.38,07.82,04.51,0.34,250,150,150,250
아이에스동서,24000,24.12,1000,4.17,020.03,010.19,04.26,0.46,1500,1500,0,1200
도화엔지니어링,6740,24.12,280,4.15,0176.69,02.00,041.80,0.85,280,280,280,280
KT나스미디어,17030,24.12,700,4.11,0122.67,03.13,024.92,0.79,700,700,638,664
대한제당,2925,24.12,120,4.10,55.31,3.68,12.53,0.45,120,115,120,110
한화손해보험,4880,24.03,200,4.10,14.81,6.68,2.53,0.19,0,0,0,0
LG,75700,25.03,3100,4.09,83.20,2.16,20.08,0.41,3100,3100,3000,2800
신영증권,122500,25.03,5000,4.08,0,0,0,0,4500,4500,4000,4000
동인기연,15190,24.12,620,4.08,21.03,12.39,6.44,0.72,800,560,800,400
흥국,5400,24.12,220,4.07,23.15,10.12,6.21,0.54,240,240,220,200
딜리,985,25.03,40,4.06,23.11,7.96,5.12,0.37,40,0,40,40
삼진제약,19710,24.12,800,4.06,24.99,14.89,6.40,0.85,800,800,800,800
삼양홀딩스,86500,24.12,3500,4.05,95.87,1.38,20.55,0.24,3500,3500,3500,3000
JW생명과학,12360,24.12,500,4.05,17.60,24.45,3.92,0.84,500,500,500,500
SIMPAC,4945,24.12,200,4.04,39.53,4.62,8.95,0.34,200,100,200,200
이엘씨,8160,24.12,330,4.04,01444.13,00.15,0223.65,0.32,300,300,300,300
KSS해운,9910,24.12,400,4.04,15.73,12.09,3.52,0.37,350,350,350,350
한독크린텍,6210,24.12,250,4.03,53.29,6.36,14.12,0.83,250,250,250,200
키움증권,186600,24.12,7500,4.02,24.63,15.98,3.97,0.55,3500,3000,3000,3500
롯데지주,29900,25.03,1200,4.01,08.43,015.56,02.26,0.25,1500,1500,1500,1500
크리스에프앤씨,4985,25.03,200,4.01,016.60,06.89,05.61,0.35,500,300,250,500
KB발해인프라,8120,24.12,325,4.00,0,0,0,0,0,0,0,0
네오팜,15000,24.12,600,4.00,40.69,13.69,8.23,1.05,384,384,358,358
쿠쿠홀딩스,30150,24.12,1200,3.98,27.16,12.08,5.96,0.60,800,1100,800,700
KTis,3020,24.12,120,3.97,30.98,5.76,7.66,0.38,120,120,120,100
NICE,12595,25.03,500,3.97,36.83,6.27,8.57,0.50,451,451,410,375
동일금속,8080,24.12,320,3.96,37.39,4.76,10.18,0.44,400,400,400,250
한국기업평가,99900,25.02,3954,3.96,72.19,21.69,16.24,3.28,5131,5131,5100,3397
LF,17720,25.03,700,3.95,25.46,4.87,6.01,0.27,700,700,700,600
파이오링크,7630,24.12,300,3.93,36.75,0,11.13,0.70,300,300,300,250
KT,50900,25.02,2000,3.93,104.53,2.85,23.70,0.66,1960,1960,1960,1910
KG스틸,6400,25.03,250,3.91,18.22,6.93,4.15,0.28,200,200,150,100
아이스크림미디어,18910,24.12,738,3.90,29.99,23.29,4.33,0.81,0,0,0,0
화승인더,5130,24.12,200,3.90,25.22,11.72,6.29,0.62,188,188,188,188
한국자산신탁,2565,25.03,100,3.90,32.70,3.60,9.23,0.33,220,220,220,220
신원,1796,24.12,70,3.90,83.42,2.81,23.88,0.48,70,70,100,50
삼익악기,1289,24.12,50,3.88,120.79,1.17,33.51,0.32,50,50,50,50
기신정기,2580,25.03,100,3.88,0,0,0,0,150,120,150,150
