N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,전일거래량,시가,매도호가,자산총계,영업이익증가율,ROE,고가,매수총잔량,부채총계,당기순이익,외국인비율,ROA,저가,매도총잔량,상장주식수,매출액,주당순이익,PBR,보통주배당금,매출액증가율
448,티씨머티리얼즈,"5,620",상승,50,+0.90%,500,"100,440",561,"5,610","1,924",109,30.22,"1,157,283","5,600","5,610",762,25.76,12.51,"5,660",830,193,63,1.07,8.58,"5,510",643,"34,228","3,039",186,3.27,0,20.57
449,동양이엔피,"24,450",하락,50,-0.20%,500,963,24,"24,450","1,922",516,2.89,"40,816","24,500","24,500","4,885",20.16,19.25,"24,500",59,874,695,7.49,15.23,"24,150","1,816","7,860","5,484","8,455",0.46,600,2.14
450,아티스트컴퍼니,"12,320",하락,100,-0.81%,500,"14,567",179,"12,220","1,921",-31,-21.73,"133,070","12,230","12,380",526,3.95,-30.27,"12,410",607,293,-78,2.10,-13.73,"12,180",3,"15,591",213,-567,3.55,N/A,-0.03
451,지니언스,"21,100",상승,50,+0.24%,500,"52,292","1,121","22,300","1,916",98,17.20,"126,859","22,300","22,350",693,52.16,20.33,"22,350",240,125,109,27.46,16.41,"20,650",271,"9,080",496,"1,227",3.32,N/A,13.54
452,인터플렉스,"8,210",하락,40,-0.48%,500,"2,378",20,"8,270","1,915",344,3.84,"45,891","8,280","8,280","3,649",58.79,21.95,"8,280",143,831,551,2.92,16.55,"8,180",792,"23,327","4,975","2,140",0.66,800,-18.74
453,KZ정밀,"12,140",상승,60,+0.50%,500,32,0,"12,090","1,912",152,14.57,"12,173","12,090","12,240","6,044",-26.95,4.69,"12,240",103,"1,221",192,5.75,3.84,"12,090",115,"15,750","1,127",833,0.48,150,-10.74
454,성우,"12,650",하락,70,-0.55%,500,"15,545",198,"12,670","1,903",146,9.08,"137,598","12,710","12,690","2,549",-49.40,10.71,"12,870",224,321,182,1.37,8.71,"12,640",95,"15,046","1,309","1,393",0.87,250,15.65
455,탑머티리얼,"23,350",상승,50,+0.21%,500,"2,651",62,"23,750","1,902",-72,-17.26,"21,978","23,750","23,950","2,074",-152.29,-5.50,"24,100",42,663,-82,0.00,-3.97,"23,250",129,"8,144","1,061","-1,353",1.34,0,-13.19
456,덕산하이메탈,"4,180",보합,0,0.00%,200,"2,986",13,"4,165","1,899",186,15.26,"124,737","4,180","4,180","8,185",269.97,6.76,"4,230",85,"3,636",313,2.32,3.99,"4,165",860,"45,437","2,359",274,0.61,N/A,63.30
457,아가방컴퍼니,"5,760",하락,20,-0.35%,500,"31,517",180,"5,730","1,894",152,17.51,"340,092","5,740","5,750","2,238",-8.27,6.64,"5,760","2,410",562,102,2.70,4.57,"5,600","1,688","32,888","1,827",329,0.95,N/A,-1.97
