N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
18,HMM,"22,300",상승,"1,000",+4.69%,"5,000","5,073",4.40,15.35,12.70,0.70,421.5
19,HD한국조선해양,"312,500",하락,"4,000",-1.26%,"5,000","20,895",14.96,11.16,4.22,1.94,"4,997.3"
20,하나금융지주,"70,000",하락,"2,700",-3.71%,"5,000","12,872",5.44,9.11,0.61,0.46,"2,823.5"
21,메리츠금융지주,"111,300",하락,400,-0.36%,500,"11,897",9.36,23.44,2.14,1.98,"10,244.4"
22,삼성생명,"99,900",상승,"1,000",+1.01%,500,"10,534",9.48,6.18,0.72,0.58,"34,748.3"
23,POSCO홀딩스,"244,000",하락,"6,000",-2.40%,"5,000","10,286",23.72,2.00,0.93,0.33,"11,465.0"
24,한국전력,"30,100",하락,250,-0.82%,"5,000","8,191",3.67,9.22,1.49,0.46,703.2
25,카카오,"43,150",상승,450,+1.05%,100,346,124.71,0.56,-0.64,1.82,"24,438.2"
26,삼성화재,"388,000",하락,"16,500",-4.08%,500,"41,007",9.46,13.11,2.41,1.06,"64,439.2"
27,크래프톤,"368,000",하락,"1,000",-0.27%,100,"27,686",13.29,21.10,18.14,2.32,"133,158.9"
28,현대로템,"152,000",상승,"5,600",+3.83%,"5,000","4,664",32.59,21.85,7.70,7.59,221.4
29,고려아연,"730,000",하락,"1,000",-0.14%,"5,000","11,900",61.34,2.28,1.45,1.79,"8,819.3"
30,삼성중공업,"16,790",하락,110,-0.65%,"1,000",166,101.14,1.77,0.33,3.72,268.1
31,KT&G,"120,600",상승,400,+0.33%,"5,000","8,881",13.58,12.66,8.73,1.43,975.8
32,SK스퀘어,"110,300",하락,"4,500",-3.92%,100,"37,069",2.98,21.70,18.30,0.71,"69,416.6"
33,우리금융지주,"18,890",하락,380,-1.97%,"5,000","4,144",4.56,9.39,0.62,0.41,844.9
34,LG화학,"195,300",하락,"2,000",-1.01%,"5,000","-11,946",-16.35,-2.11,0.60,0.46,"7,705.8"
35,HD현대일렉트릭,"378,000",하락,"1,000",-0.26%,"5,000","15,581",24.26,39.34,14.87,9.05,675.6
36,SK이노베이션,"87,700",하락,"1,800",-2.01%,"5,000","-20,236",-4.33,-9.65,-2.48,0.54,"2,668.9"
37,KT,"49,400",하락,"1,400",-2.76%,"5,000","2,511",19.67,2.85,0.99,0.73,973.0
38,기업은행,"15,430",하락,310,-1.97%,"5,000","3,316",4.65,8.06,0.58,0.36,712.8
39,삼성SDI,"172,800",상승,"3,900",+2.31%,"5,000","1,461",118.28,3.13,1.54,0.61,"4,984.9"
40,SK,"163,400",하락,300,-0.18%,200,"12,281",13.31,-5.64,0.25,0.33,"155,360.5"
41,LG전자,"70,800",하락,300,-0.42%,"5,000","3,825",18.51,1.81,0.94,0.58,"2,137.1"
42,카카오뱅크,"24,050",상승,550,+2.34%,"5,000",923,26.06,6.95,0.75,1.75,174.8
43,하이브,"272,000",상승,"6,000",+2.26%,500,"1,256",216.56,0.31,-0.06,3.44,"14,580.2"
