N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
32,주성엔지니어링,"32,600",상승,"1,000",+3.16%,500,"932,225","30,616","32,550","15,409",972,13.09,500,"415,743","32,050","32,600","9,868",235.88,500,"33,700","16,486","4,202","1,068",17.60,500,"31,700","16,918","47,268","4,094","2,491",500,287
33,동진쎄미켐,"29,700",상승,"1,500",+5.32%,500,"629,332","18,660","29,700","15,270","2,082",9.95,500,"293,808","28,550","29,750","20,170",18.19,500,"30,150","24,884","9,966","1,435",9.64,500,"28,300","33,437","51,414","14,081","2,986",500,200
34,스튜디오드래곤,"49,400",하락,300,-0.60%,500,"107,849","5,317","49,350","14,849",364,94.82,500,"212,649","49,600","49,400","9,255",-34.86,500,"50,200","3,764","1,859",335,11.81,500,"48,900","3,504","30,058","5,501",521,500,N/A
35,엔켐,"68,800",상승,"1,300",+1.93%,500,"191,136","13,033","68,700","14,582",-653,-6.70,500,"247,734","67,000","68,800","11,269","-2,244.05",500,"70,000","4,127","6,601","-5,712",6.78,500,"66,000","4,963","21,194","3,657","-10,265",500,N/A
36,CJ ENM,"66,200",상승,"1,300",+2.00%,"5,000","91,576","6,017","66,000","14,517","1,045",-2.64,"5,000","203,082","65,100","66,200","93,166",815.59,"5,000","66,300","1,221","56,386","-5,808",17.22,"5,000","64,700","11,138","21,929","52,314","-25,100","5,000",N/A
37,루닛,"48,400",상승,50,+0.10%,500,"234,464","11,401","48,350","14,109",-677,-20.25,500,"257,771","48,600","48,400","4,350",-60.30,500,"49,700","21,050","2,702",-824,9.94,500,"47,600","5,259","29,150",542,"-2,390",500,0
38,카카오게임즈,"16,640",상승,290,+1.77%,100,"246,081","4,103","16,640","13,789",191,-10.36,100,"428,987","16,430","16,650","31,732",-74.60,100,"16,940","6,349","16,949","-1,281",10.94,100,"16,310","2,250","82,866","6,272","-1,606",100,N/A
39,테크윙,"35,500",상승,"1,250",+3.65%,500,"759,469","27,196","35,450","13,261",234,-94.92,500,"513,991","34,650","35,500","5,062",640.74,500,"36,550","14,840","3,179",-220,10.79,500,"34,050","15,178","37,354","1,855",-374,500,130
40,솔브레인,"166,700",상승,"2,700",+1.65%,500,"28,426","4,731","166,400","12,967","1,679",12.52,500,"19,442","163,600","166,700","11,682",25.82,500,"168,800",585,"1,309","1,196",31.47,500,"162,400",985,"7,779","8,634","13,317",500,"2,300"
41,디어유,"54,400",상승,900,+1.68%,500,"222,687","12,158","54,400","12,914",254,62.53,500,"267,927","53,300","54,500","2,203",N/A,500,"55,800","5,315",243,244,5.85,500,"53,100","5,692","23,738",749,870,500,215
