keyword,target_period,period_query,title,image_url,thumbnail_url,popularity_score,search_method,collected_at,search_volume
치킨,2025-06,2025.06,"치킨, 음식, 식사, food, meal, 사진,이미지,일러스트,캘리그라피 - WindPath작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_F9FA0136A0EB76D2630EEE18F686A2CA.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_F9FA0136A0EB76D2630EEE18F686A2CA.jpg,53,image_sim,2025-07-14T20:38:33.526927,317241121
치킨,2025-06,2025.06,"음식, 식사, food, meal, 치킨, 사진,이미지,일러스트,캘리그라피 - Dracula작가 크라우드픽 - 저작권 걱정 없는 상업용 이미지",https://cdn.crowdpic.net/detail-thumb/thumb_d_1F31A2FFD581F7DDFD5ADC78E9B4CF7D.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.crowdpic.net/detail-thumb/thumb_d_1F31A2FFD581F7DDFD5ADC78E9B4CF7D.jpg,53,image_sim,2025-07-14T20:38:33.526927,317241121
치킨,2025-06,2025.06,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008229.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008229.jpg,53,image_sim,2025-07-14T20:38:33.528936,317241121
치킨,2025-06,2025.06,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008227.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008227.jpg,53,image_sim,2025-07-14T20:38:33.528936,317241121
치킨,2025-06,2025.06,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008225.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008225.jpg,53,image_sim,2025-07-14T20:38:33.528936,317241121
치킨,2025-06,2025.06,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008223.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008223.jpg,53,image_sim,2025-07-14T20:38:33.528936,317241121
치킨,2025-06,2025.06,치킨 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10008226.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10008226.jpg,53,image_sim,2025-07-14T20:38:33.528936,317241121
라면,2024-06,2024년 6월,라면 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10014551.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10014551.jpg,53,image_sim,2025-07-14T20:38:36.301919,20473562
라면,2024-06,2024년 6월,라면 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10014572.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10014572.jpg,53,image_sim,2025-07-14T20:38:36.301919,20473562
라면,2024-06,2024년 6월,라면 > 음식 | 이미지 사용조건이 까다롭지 않은 요리사진 100만컷,https://www.sk5.co.kr/neo/ns600/100/10014559.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://www.sk5.co.kr/neo/ns600/100/10014559.jpg,53,image_sim,2025-07-14T20:38:36.301919,20473562
