N,종목명,현재가,전일비변동,전일비,등락률,액면가,주당순이익,PER,ROE,ROA,PBR,유보율
257,KODEX 25-12 은행채(AAA)액티브,"102,730",상승,10,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
258,하나 CD금리투자 ETN,"104,075",상승,15,+0.01%,0,N/A,N/A,N/A,N/A,N/A,N/A
259,LX세미콘,"60,300",상승,100,+0.17%,500,"8,349",7.22,12.69,9.65,0.90,"13,173.7"
260,1Q 머니마켓액티브,"52,270",상승,15,+0.03%,0,N/A,N/A,N/A,N/A,N/A,N/A
261,한샘,"41,250",하락,800,-1.90%,"1,000","4,768",8.65,43.59,14.27,1.90,"2,540.2"
262,롯데관광개발,"12,710",상승,840,+7.08%,500,"-1,336",-9.51,-60.42,-5.93,3.30,"-1,163.7"
263,KB발해인프라,"7,860",상승,100,+1.29%,0,N/A,N/A,N/A,N/A,N/A,N/A
264,TIGER TOP10,"10,940",하락,60,-0.55%,0,N/A,N/A,N/A,N/A,N/A,N/A
265,미래에셋생명,"5,430",하락,200,-3.55%,"5,000",687,7.90,4.88,0.42,0.28,196.2
266,롯데정밀화학,"37,200",하락,700,-1.85%,"5,000",-723,-51.45,1.53,1.35,0.40,"1,755.2"
267,TIGER 미국배당다우존스타겟커버드콜2호,"9,280",하락,65,-0.70%,0,N/A,N/A,N/A,N/A,N/A,N/A
268,한화투자증권,"4,370",하락,90,-2.02%,"5,000",177,24.69,2.37,0.29,0.56,56.4
269,DL,"44,400",상승,150,+0.34%,"5,000","1,911",23.23,2.25,0.77,0.24,"5,186.1"
270,RISE 미국S&P500,"17,535",하락,160,-0.90%,0,N/A,N/A,N/A,N/A,N/A,N/A
271,동원시스템즈,"32,050",상승,"1,000",+3.22%,"5,000","2,309",13.88,9.01,4.70,1.13,359.9
272,SOL 조선TOP3플러스,"24,730",상승,80,+0.32%,0,N/A,N/A,N/A,N/A,N/A,N/A
273,ESR켄달스퀘어리츠,"4,330",하락,55,-1.25%,"1,000",78,55.51,0.33,0.15,0.87,409.0
274,세아제강지주,"222,500",하락,"19,500",-8.06%,"5,000","11,193",19.88,2.25,2.37,0.44,"8,012.0"
275,세방전지,"65,500",하락,"1,400",-2.09%,500,"12,471",5.25,12.22,8.76,0.57,"21,354.7"
276,STX엔진,"22,750",보합,0,0.00%,"2,500","1,269",17.93,10.15,2.91,3.20,95.8
277,RISE 미국나스닥100,"21,530",하락,230,-1.06%,0,N/A,N/A,N/A,N/A,N/A,N/A
278,GKL,"14,710",상승,620,+4.40%,500,630,23.35,8.01,5.27,2.19,"1,237.1"
279,SK네트웍스,"4,095",하락,40,-0.97%,"2,500",157,26.08,2.29,0.65,0.40,236.7
280,지역난방공사,"78,000",하락,900,-1.14%,"5,000","26,013",3.00,9.65,2.57,0.37,"2,959.8"
281,코오롱인더,"32,650",하락,800,-2.39%,"5,000","3,202",10.20,3.06,1.67,0.27,"1,661.3"
282,TIGER 종합채권(AA-이상)액티브,"56,965",보합,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A
283,동양생명,"5,510",하락,30,-0.54%,"5,000","1,948",2.83,12.91,0.93,0.45,151.2
284,삼성화재우,"286,000",하락,"9,000",-3.05%,500,"41,007",6.97,N/A,N/A,0.78,N/A
285,SNT에너지,"42,600",상승,"2,000",+4.93%,500,"1,677",25.40,11.90,7.37,2.73,"2,991.8"
